target_type,target_id,user_id,content,like_count,status,created_at,parent_id
course,5,2,course#5 评论 2：如果能加配套资料就更好了。,7,normal,2026-02-04T10:48:13.282Z,
course,5,3,course#5 评论 3：内容有深度但不晦涩，体验很好。,2,normal,2026-01-23T10:48:13.282Z,
course,5,4,course#5 评论 4：节奏刚好，建议再补充一点练习题。,3,normal,2026-01-28T10:48:13.282Z,
course,5,5,course#5 评论 5：内容有深度但不晦涩，体验很好。,6,normal,2026-01-27T10:48:13.282Z,
course,5,6,course#5 评论 6：实例讲解很实用，收藏了。,3,normal,2026-01-31T10:48:13.282Z,
course,6,1,course#6 评论 1：如果能加配套资料就更好了。,1,normal,2026-01-23T10:48:13.282Z,
course,6,2,course#6 评论 2：希望后续更新更多进阶内容。,3,normal,2026-02-02T10:48:13.282Z,
course,6,3,course#6 评论 3：内容有深度但不晦涩，体验很好。,2,normal,2026-01-31T10:48:13.282Z,
course,6,4,course#6 评论 4：内容有深度但不晦涩，体验很好。,3,normal,2026-01-23T10:48:13.282Z,
course,6,5,course#6 评论 5：节奏刚好，建议再补充一点练习题。,6,normal,2026-01-28T10:48:13.282Z,
course,6,6,course#6 评论 6：如果能加配套资料就更好了。,7,normal,2026-02-04T10:48:13.282Z,
course,7,1,course#7 评论 1：重点知识点总结得不错，复习方便。,2,normal,2026-01-29T10:48:13.282Z,
course,7,2,course#7 评论 2：如果能加配套资料就更好了。,4,normal,2026-01-22T10:48:13.282Z,
course,7,3,course#7 评论 3：课程结构清晰，学习路线明了。,0,normal,2026-01-25T10:48:13.282Z,
course,7,4,course#7 评论 4：案例很贴近实际，学完能直接上手。,0,normal,2026-02-03T10:48:13.282Z,
course,7,5,course#7 评论 5：重点知识点总结得不错，复习方便。,0,normal,2026-02-03T10:48:13.282Z,
course,7,6,course#7 评论 6：如果能加配套资料就更好了。,1,normal,2026-02-04T10:48:13.282Z,
course,8,1,course#8 评论 1：希望后续更新更多进阶内容。,5,normal,2026-01-22T10:48:13.282Z,
course,8,2,course#8 评论 2：节奏刚好，建议再补充一点练习题。,2,normal,2026-01-31T10:48:13.282Z,
course,8,3,course#8 评论 3：案例很贴近实际，学完能直接上手。,4,normal,2026-02-04T10:48:13.282Z,
course,8,4,course#8 评论 4：希望后续更新更多进阶内容。,3,normal,2026-01-24T10:48:13.282Z,
course,8,5,course#8 评论 5：实例讲解很实用，收藏了。,3,normal,2026-02-01T10:48:13.282Z,
course,8,6,course#8 评论 6：节奏刚好，建议再补充一点练习题。,7,normal,2026-01-30T10:48:13.282Z,
course,9,1,course#9 评论 1：节奏刚好，建议再补充一点练习题。,5,normal,2026-02-03T10:48:13.282Z,
course,9,2,course#9 评论 2：这节课讲得很清楚，重点很明确。,6,normal,2026-01-25T10:48:13.282Z,
course,9,3,course#9 评论 3：内容有深度但不晦涩，体验很好。,3,normal,2026-02-02T10:48:13.282Z,
course,9,4,course#9 评论 4：内容有深度但不晦涩，体验很好。,4,normal,2026-01-31T10:48:13.282Z,
course,9,5,course#9 评论 5：这节课讲得很清楚，重点很明确。,6,normal,2026-02-01T10:48:13.282Z,
course,9,6,course#9 评论 6：节奏刚好，建议再补充一点练习题。,6,normal,2026-01-23T10:48:13.282Z,
course,1000,1,course#1000 评论 1：如果能加配套资料就更好了。,3,normal,2026-01-25T10:48:13.282Z,
course,1000,2,course#1000 评论 2：案例很贴近实际，学完能直接上手。,7,normal,2026-01-30T10:48:13.282Z,
course,1000,3,course#1000 评论 3：课程结构清晰，学习路线明了。,6,normal,2026-01-28T10:48:13.282Z,
course,1000,4,course#1000 评论 4：实例讲解很实用，收藏了。,4,normal,2026-01-22T10:48:13.282Z,
course,1000,5,course#1000 评论 5：希望后续更新更多进阶内容。,7,normal,2026-01-31T10:48:13.282Z,
course,1000,6,course#1000 评论 6：如果能加配套资料就更好了。,4,normal,2026-01-23T10:48:13.282Z,
course,1001,1,course#1001 评论 1：希望后续更新更多进阶内容。,7,normal,2026-02-04T10:48:13.282Z,
course,1001,2,course#1001 评论 2：节奏刚好，建议再补充一点练习题。,5,normal,2026-01-29T10:48:13.282Z,
course,1001,3,course#1001 评论 3：实例讲解很实用，收藏了。,7,normal,2026-01-29T10:48:13.282Z,
course,1001,4,course#1001 评论 4：希望后续更新更多进阶内容。,3,normal,2026-01-24T10:48:13.282Z,
course,1001,5,course#1001 评论 5：实例讲解很实用，收藏了。,4,normal,2026-01-29T10:48:13.282Z,
course,1001,6,course#1001 评论 6：课程结构清晰，学习路线明了。,2,normal,2026-02-03T10:48:13.282Z,
course,1002,1,course#1002 评论 1：内容有深度但不晦涩，体验很好。,5,normal,2026-02-02T10:48:13.282Z,
course,1002,2,course#1002 评论 2：案例很贴近实际，学完能直接上手。,7,normal,2026-01-28T10:48:13.282Z,
course,1002,3,course#1002 评论 3：重点知识点总结得不错，复习方便。,6,normal,2026-02-02T10:48:13.282Z,
course,1002,4,course#1002 评论 4：重点知识点总结得不错，复习方便。,7,normal,2026-01-24T10:48:13.282Z,
course,1002,5,course#1002 评论 5：希望后续更新更多进阶内容。,7,normal,2026-01-24T10:48:13.282Z,
course,1002,6,course#1002 评论 6：这节课讲得很清楚，重点很明确。,2,normal,2026-01-25T10:48:13.282Z,
course,1003,1,course#1003 评论 1：如果能加配套资料就更好了。,5,normal,2026-01-28T10:48:13.282Z,
course,1003,2,course#1003 评论 2：希望后续更新更多进阶内容。,0,normal,2026-01-27T10:48:13.282Z,
course,1003,3,course#1003 评论 3：重点知识点总结得不错，复习方便。,3,normal,2026-01-28T10:48:13.282Z,
course,1003,4,course#1003 评论 4：这节课讲得很清楚，重点很明确。,3,normal,2026-02-02T10:48:13.282Z,
course,1003,5,course#1003 评论 5：重点知识点总结得不错，复习方便。,5,normal,2026-01-29T10:48:13.282Z,
course,1003,6,course#1003 评论 6：实例讲解很实用，收藏了。,0,normal,2026-01-22T10:48:13.282Z,
course,1004,1,course#1004 评论 1：实例讲解很实用，收藏了。,7,normal,2026-01-24T10:48:13.282Z,
course,1004,2,course#1004 评论 2：节奏刚好，建议再补充一点练习题。,4,normal,2026-01-24T10:48:13.282Z,
course,1004,3,course#1004 评论 3：如果能加配套资料就更好了。,0,normal,2026-01-31T10:48:13.282Z,
course,1004,4,course#1004 评论 4：节奏刚好，建议再补充一点练习题。,2,normal,2026-02-03T10:48:13.282Z,
course,1004,5,course#1004 评论 5：这节课讲得很清楚，重点很明确。,7,normal,2026-02-04T10:48:13.282Z,
course,1004,6,course#1004 评论 6：希望后续更新更多进阶内容。,4,normal,2026-01-31T10:48:13.282Z,
course,1005,1,course#1005 评论 1：这节课讲得很清楚，重点很明确。,5,normal,2026-01-25T10:48:13.282Z,
course,1005,2,course#1005 评论 2：内容有深度但不晦涩，体验很好。,0,normal,2026-01-25T10:48:13.282Z,
course,1005,3,course#1005 评论 3：实例讲解很实用，收藏了。,5,normal,2026-01-22T10:48:13.282Z,
course,1005,4,course#1005 评论 4：课程结构清晰，学习路线明了。,0,normal,2026-02-01T10:48:13.282Z,
course,1005,5,course#1005 评论 5：课程结构清晰，学习路线明了。,5,normal,2026-01-30T10:48:13.282Z,
course,1005,6,course#1005 评论 6：如果能加配套资料就更好了。,1,normal,2026-01-22T10:48:13.282Z,
course,1006,1,course#1006 评论 1：重点知识点总结得不错，复习方便。,5,normal,2026-01-27T10:48:13.282Z,
course,1006,2,course#1006 评论 2：如果能加配套资料就更好了。,5,normal,2026-01-22T10:48:13.282Z,
course,1006,3,course#1006 评论 3：实例讲解很实用，收藏了。,4,normal,2026-01-31T10:48:13.282Z,
course,1006,4,course#1006 评论 4：这节课讲得很清楚，重点很明确。,1,normal,2026-01-24T10:48:13.282Z,
course,1006,5,course#1006 评论 5：内容有深度但不晦涩，体验很好。,7,normal,2026-01-22T10:48:13.282Z,
course,1006,6,course#1006 评论 6：实例讲解很实用，收藏了。,7,normal,2026-02-03T10:48:13.282Z,
course,1007,1,course#1007 评论 1：课程结构清晰，学习路线明了。,6,normal,2026-02-03T10:48:13.282Z,
course,1007,2,course#1007 评论 2：节奏刚好，建议再补充一点练习题。,0,normal,2026-02-04T10:48:13.282Z,
course,1007,3,course#1007 评论 3：内容有深度但不晦涩，体验很好。,5,normal,2026-01-23T10:48:13.282Z,
course,1007,4,course#1007 评论 4：案例很贴近实际，学完能直接上手。,6,normal,2026-02-01T10:48:13.282Z,
course,1007,5,course#1007 评论 5：希望后续更新更多进阶内容。,5,normal,2026-01-28T10:48:13.282Z,
course,1007,6,course#1007 评论 6：重点知识点总结得不错，复习方便。,0,normal,2026-01-29T10:48:13.282Z,
course,1008,1,course#1008 评论 1：实例讲解很实用，收藏了。,2,normal,2026-02-02T10:48:13.282Z,
course,1008,2,course#1008 评论 2：如果能加配套资料就更好了。,4,normal,2026-01-25T10:48:13.282Z,
course,1008,3,course#1008 评论 3：课程结构清晰，学习路线明了。,5,normal,2026-01-29T10:48:13.282Z,
course,1008,4,course#1008 评论 4：实例讲解很实用，收藏了。,3,normal,2026-01-30T10:48:13.282Z,
course,1008,5,course#1008 评论 5：希望后续更新更多进阶内容。,2,normal,2026-01-30T10:48:13.282Z,
course,1008,6,course#1008 评论 6：课程结构清晰，学习路线明了。,1,normal,2026-01-26T10:48:13.282Z,
course,1009,1,course#1009 评论 1：希望后续更新更多进阶内容。,1,normal,2026-01-26T10:48:13.282Z,
course,1009,2,course#1009 评论 2：内容有深度但不晦涩，体验很好。,0,normal,2026-01-28T10:48:13.282Z,
course,1009,3,course#1009 评论 3：内容有深度但不晦涩，体验很好。,0,normal,2026-01-31T10:48:13.282Z,
course,1009,4,course#1009 评论 4：课程结构清晰，学习路线明了。,3,normal,2026-01-30T10:48:13.282Z,
course,1009,5,course#1009 评论 5：实例讲解很实用，收藏了。,1,normal,2026-01-28T10:48:13.282Z,
course,1009,6,course#1009 评论 6：案例很贴近实际，学完能直接上手。,1,normal,2026-02-04T10:48:13.282Z,
course,1010,1,course#1010 评论 1：案例很贴近实际，学完能直接上手。,0,normal,2026-02-03T10:48:13.282Z,
course,1010,2,course#1010 评论 2：如果能加配套资料就更好了。,2,normal,2026-01-28T10:48:13.282Z,
course,1010,3,course#1010 评论 3：节奏刚好，建议再补充一点练习题。,0,normal,2026-01-29T10:48:13.282Z,
course,1010,4,course#1010 评论 4：希望后续更新更多进阶内容。,0,normal,2026-01-30T10:48:13.282Z,
course,1010,5,course#1010 评论 5：如果能加配套资料就更好了。,1,normal,2026-01-28T10:48:13.282Z,
course,1010,6,course#1010 评论 6：节奏刚好，建议再补充一点练习题。,7,normal,2026-01-26T10:48:13.282Z,
course,1011,1,course#1011 评论 1：希望后续更新更多进阶内容。,1,normal,2026-02-02T10:48:13.282Z,
course,1011,2,course#1011 评论 2：这节课讲得很清楚，重点很明确。,4,normal,2026-01-28T10:48:13.282Z,
course,1011,3,course#1011 评论 3：案例很贴近实际，学完能直接上手。,2,normal,2026-02-02T10:48:13.282Z,
course,1011,4,course#1011 评论 4：如果能加配套资料就更好了。,3,normal,2026-01-22T10:48:13.282Z,
course,1011,5,course#1011 评论 5：讲师讲解很细，适合零基础。,5,normal,2026-02-04T10:48:13.282Z,
course,1011,6,course#1011 评论 6：课程结构清晰，学习路线明了。,4,normal,2026-01-25T10:48:13.282Z,
course,1012,1,course#1012 评论 1：节奏刚好，建议再补充一点练习题。,1,normal,2026-02-03T10:48:13.282Z,
course,1012,2,course#1012 评论 2：节奏刚好，建议再补充一点练习题。,4,normal,2026-01-23T10:48:13.282Z,
course,1012,3,course#1012 评论 3：实例讲解很实用，收藏了。,1,normal,2026-01-26T10:48:13.282Z,
course,1012,4,course#1012 评论 4：讲师讲解很细，适合零基础。,3,normal,2026-01-30T10:48:13.282Z,
course,1012,5,course#1012 评论 5：节奏刚好，建议再补充一点练习题。,3,normal,2026-02-03T10:48:13.282Z,
course,1012,6,course#1012 评论 6：实例讲解很实用，收藏了。,2,normal,2026-01-31T10:48:13.282Z,
course,1013,1,course#1013 评论 1：内容有深度但不晦涩，体验很好。,2,normal,2026-01-31T10:48:13.282Z,
course,1013,2,course#1013 评论 2：案例很贴近实际，学完能直接上手。,4,normal,2026-01-23T10:48:13.283Z,
course,1013,3,course#1013 评论 3：如果能加配套资料就更好了。,6,normal,2026-01-28T10:48:13.283Z,
course,1013,4,course#1013 评论 4：这节课讲得很清楚，重点很明确。,3,normal,2026-01-23T10:48:13.283Z,
course,1013,5,course#1013 评论 5：讲师讲解很细，适合零基础。,5,normal,2026-01-27T10:48:13.283Z,
course,1013,6,course#1013 评论 6：希望后续更新更多进阶内容。,6,normal,2026-02-02T10:48:13.283Z,
course,1014,1,course#1014 评论 1：节奏刚好，建议再补充一点练习题。,2,normal,2026-01-25T10:48:13.283Z,
course,1014,2,course#1014 评论 2：案例很贴近实际，学完能直接上手。,2,normal,2026-01-27T10:48:13.283Z,
course,1014,3,course#1014 评论 3：希望后续更新更多进阶内容。,4,normal,2026-01-27T10:48:13.283Z,
course,1014,4,course#1014 评论 4：希望后续更新更多进阶内容。,1,normal,2026-01-24T10:48:13.283Z,
course,1014,5,course#1014 评论 5：这节课讲得很清楚，重点很明确。,0,normal,2026-01-27T10:48:13.283Z,
course,1014,6,course#1014 评论 6：重点知识点总结得不错，复习方便。,2,normal,2026-01-25T10:48:13.283Z,
course,1015,1,course#1015 评论 1：重点知识点总结得不错，复习方便。,6,normal,2026-02-03T10:48:13.283Z,
course,1015,2,course#1015 评论 2：希望后续更新更多进阶内容。,0,normal,2026-01-23T10:48:13.283Z,
course,1015,3,course#1015 评论 3：实例讲解很实用，收藏了。,4,normal,2026-02-03T10:48:13.283Z,
course,1015,4,course#1015 评论 4：如果能加配套资料就更好了。,2,normal,2026-01-30T10:48:13.283Z,
course,1015,5,course#1015 评论 5：这节课讲得很清楚，重点很明确。,1,normal,2026-01-26T10:48:13.283Z,
course,1015,6,course#1015 评论 6：课程结构清晰，学习路线明了。,4,normal,2026-01-28T10:48:13.283Z,
course,1016,1,course#1016 评论 1：案例很贴近实际，学完能直接上手。,7,normal,2026-01-24T10:48:13.283Z,
course,1016,2,course#1016 评论 2：节奏刚好，建议再补充一点练习题。,4,normal,2026-01-22T10:48:13.283Z,
course,1016,3,course#1016 评论 3：希望后续更新更多进阶内容。,5,normal,2026-01-30T10:48:13.283Z,
course,1016,4,course#1016 评论 4：节奏刚好，建议再补充一点练习题。,0,normal,2026-02-01T10:48:13.283Z,
course,1016,5,course#1016 评论 5：节奏刚好，建议再补充一点练习题。,5,normal,2026-01-25T10:48:13.283Z,
course,1016,6,course#1016 评论 6：课程结构清晰，学习路线明了。,4,normal,2026-01-26T10:48:13.283Z,
course,1017,1,course#1017 评论 1：实例讲解很实用，收藏了。,0,normal,2026-01-31T10:48:13.283Z,
course,1017,2,course#1017 评论 2：讲师讲解很细，适合零基础。,4,normal,2026-01-30T10:48:13.283Z,
course,1017,3,course#1017 评论 3：这节课讲得很清楚，重点很明确。,7,normal,2026-01-26T10:48:13.283Z,
course,1017,4,course#1017 评论 4：课程结构清晰，学习路线明了。,1,normal,2026-01-31T10:48:13.283Z,
course,1017,5,course#1017 评论 5：如果能加配套资料就更好了。,6,normal,2026-02-01T10:48:13.283Z,
course,1017,6,course#1017 评论 6：重点知识点总结得不错，复习方便。,4,normal,2026-01-22T10:48:13.283Z,
course,1018,1,course#1018 评论 1：重点知识点总结得不错，复习方便。,5,normal,2026-01-28T10:48:13.283Z,
course,1018,2,course#1018 评论 2：案例很贴近实际，学完能直接上手。,2,normal,2026-01-23T10:48:13.283Z,
course,1018,3,course#1018 评论 3：讲师讲解很细，适合零基础。,4,normal,2026-02-02T10:48:13.283Z,
course,1018,4,course#1018 评论 4：如果能加配套资料就更好了。,4,normal,2026-01-22T10:48:13.283Z,
course,1018,5,course#1018 评论 5：内容有深度但不晦涩，体验很好。,6,normal,2026-01-24T10:48:13.283Z,
course,1018,6,course#1018 评论 6：希望后续更新更多进阶内容。,0,normal,2026-01-25T10:48:13.283Z,
course,1019,1,course#1019 评论 1：实例讲解很实用，收藏了。,3,normal,2026-01-31T10:48:13.283Z,
course,1019,2,course#1019 评论 2：实例讲解很实用，收藏了。,5,normal,2026-01-31T10:48:13.283Z,
course,1019,3,course#1019 评论 3：节奏刚好，建议再补充一点练习题。,2,normal,2026-01-31T10:48:13.283Z,
course,1019,4,course#1019 评论 4：实例讲解很实用，收藏了。,4,normal,2026-01-25T10:48:13.283Z,
course,1019,5,course#1019 评论 5：课程结构清晰，学习路线明了。,1,normal,2026-01-22T10:48:13.283Z,
course,1019,6,course#1019 评论 6：内容有深度但不晦涩，体验很好。,5,normal,2026-01-25T10:48:13.283Z,
course,1020,1,course#1020 评论 1：这节课讲得很清楚，重点很明确。,0,normal,2026-01-30T10:48:13.283Z,
course,1020,2,course#1020 评论 2：案例很贴近实际，学完能直接上手。,6,normal,2026-01-23T10:48:13.283Z,
course,1020,3,course#1020 评论 3：如果能加配套资料就更好了。,1,normal,2026-02-01T10:48:13.283Z,
course,1020,4,course#1020 评论 4：内容有深度但不晦涩，体验很好。,7,normal,2026-01-24T10:48:13.283Z,
course,1020,5,course#1020 评论 5：这节课讲得很清楚，重点很明确。,5,normal,2026-01-26T10:48:13.283Z,
course,1020,6,course#1020 评论 6：希望后续更新更多进阶内容。,3,normal,2026-01-29T10:48:13.283Z,
course,1021,1,course#1021 评论 1：这节课讲得很清楚，重点很明确。,6,normal,2026-02-01T10:48:13.283Z,
course,1021,2,course#1021 评论 2：这节课讲得很清楚，重点很明确。,1,normal,2026-01-27T10:48:13.283Z,
course,1021,3,course#1021 评论 3：希望后续更新更多进阶内容。,3,normal,2026-01-26T10:48:13.283Z,
course,1021,4,course#1021 评论 4：希望后续更新更多进阶内容。,5,normal,2026-01-29T10:48:13.283Z,
course,1021,5,course#1021 评论 5：内容有深度但不晦涩，体验很好。,5,normal,2026-02-04T10:48:13.283Z,
course,1021,6,course#1021 评论 6：如果能加配套资料就更好了。,6,normal,2026-01-25T10:48:13.283Z,
course,1022,1,course#1022 评论 1：希望后续更新更多进阶内容。,4,normal,2026-01-25T10:48:13.283Z,
course,1022,2,course#1022 评论 2：案例很贴近实际，学完能直接上手。,3,normal,2026-01-27T10:48:13.283Z,
course,1022,3,course#1022 评论 3：课程结构清晰，学习路线明了。,3,normal,2026-01-28T10:48:13.283Z,
course,1022,4,course#1022 评论 4：如果能加配套资料就更好了。,4,normal,2026-01-31T10:48:13.283Z,
course,1022,5,course#1022 评论 5：节奏刚好，建议再补充一点练习题。,0,normal,2026-01-29T10:48:13.283Z,
course,1022,6,course#1022 评论 6：案例很贴近实际，学完能直接上手。,7,normal,2026-01-25T10:48:13.283Z,
course,1023,1,course#1023 评论 1：课程结构清晰，学习路线明了。,1,normal,2026-01-26T10:48:13.283Z,
course,1023,2,course#1023 评论 2：案例很贴近实际，学完能直接上手。,0,normal,2026-02-02T10:48:13.283Z,
course,1023,3,course#1023 评论 3：案例很贴近实际，学完能直接上手。,7,normal,2026-02-04T10:48:13.283Z,
course,1023,4,course#1023 评论 4：重点知识点总结得不错，复习方便。,1,normal,2026-01-30T10:48:13.283Z,
course,1023,5,course#1023 评论 5：课程结构清晰，学习路线明了。,4,normal,2026-01-26T10:48:13.283Z,
course,1023,6,course#1023 评论 6：课程结构清晰，学习路线明了。,1,normal,2026-01-29T10:48:13.283Z,
course,1024,1,course#1024 评论 1：这节课讲得很清楚，重点很明确。,3,normal,2026-01-26T10:48:13.283Z,
course,1024,2,course#1024 评论 2：案例很贴近实际，学完能直接上手。,2,normal,2026-01-27T10:48:13.283Z,
course,1024,3,course#1024 评论 3：讲师讲解很细，适合零基础。,6,normal,2026-01-27T10:48:13.283Z,
course,1024,4,course#1024 评论 4：内容有深度但不晦涩，体验很好。,6,normal,2026-01-24T10:48:13.283Z,
course,1024,5,course#1024 评论 5：希望后续更新更多进阶内容。,0,normal,2026-01-23T10:48:13.283Z,
course,1024,6,course#1024 评论 6：案例很贴近实际，学完能直接上手。,7,normal,2026-02-04T10:48:13.283Z,
course,1025,1,course#1025 评论 1：重点知识点总结得不错，复习方便。,6,normal,2026-01-31T10:48:13.283Z,
course,1025,2,course#1025 评论 2：节奏刚好，建议再补充一点练习题。,6,normal,2026-01-22T10:48:13.283Z,
course,1025,3,course#1025 评论 3：实例讲解很实用，收藏了。,7,normal,2026-01-22T10:48:13.283Z,
course,1025,4,course#1025 评论 4：重点知识点总结得不错，复习方便。,6,normal,2026-01-30T10:48:13.283Z,
course,1025,5,course#1025 评论 5：这节课讲得很清楚，重点很明确。,4,normal,2026-01-27T10:48:13.283Z,
course,1025,6,course#1025 评论 6：这节课讲得很清楚，重点很明确。,6,normal,2026-01-26T10:48:13.283Z,
course,1026,1,course#1026 评论 1：案例很贴近实际，学完能直接上手。,3,normal,2026-02-03T10:48:13.283Z,
course,1026,2,course#1026 评论 2：课程结构清晰，学习路线明了。,0,normal,2026-01-31T10:48:13.283Z,
course,1026,3,course#1026 评论 3：如果能加配套资料就更好了。,1,normal,2026-01-30T10:48:13.283Z,
course,1026,4,course#1026 评论 4：讲师讲解很细，适合零基础。,2,normal,2026-01-31T10:48:13.283Z,
course,1026,5,course#1026 评论 5：这节课讲得很清楚，重点很明确。,7,normal,2026-02-03T10:48:13.283Z,
course,1026,6,course#1026 评论 6：案例很贴近实际，学完能直接上手。,3,normal,2026-01-22T10:48:13.283Z,
course,1027,1,course#1027 评论 1：如果能加配套资料就更好了。,7,normal,2026-02-03T10:48:13.283Z,
course,1027,2,course#1027 评论 2：重点知识点总结得不错，复习方便。,6,normal,2026-02-01T10:48:13.283Z,
course,1027,3,course#1027 评论 3：实例讲解很实用，收藏了。,2,normal,2026-01-25T10:48:13.283Z,
course,1027,4,course#1027 评论 4：实例讲解很实用，收藏了。,7,normal,2026-02-03T10:48:13.283Z,
course,1027,5,course#1027 评论 5：如果能加配套资料就更好了。,3,normal,2026-01-28T10:48:13.283Z,
course,1027,6,course#1027 评论 6：希望后续更新更多进阶内容。,4,normal,2026-01-25T10:48:13.283Z,
course,1028,1,course#1028 评论 1：案例很贴近实际，学完能直接上手。,1,normal,2026-01-31T10:48:13.283Z,
course,1028,2,course#1028 评论 2：重点知识点总结得不错，复习方便。,1,normal,2026-02-02T10:48:13.283Z,
course,1028,3,course#1028 评论 3：案例很贴近实际，学完能直接上手。,5,normal,2026-01-24T10:48:13.283Z,
course,1028,4,course#1028 评论 4：讲师讲解很细，适合零基础。,7,normal,2026-01-25T10:48:13.283Z,
course,1028,5,course#1028 评论 5：希望后续更新更多进阶内容。,4,normal,2026-01-24T10:48:13.283Z,
course,1028,6,course#1028 评论 6：案例很贴近实际，学完能直接上手。,2,normal,2026-01-29T10:48:13.283Z,
course,1029,1,course#1029 评论 1：课程结构清晰，学习路线明了。,6,normal,2026-01-30T10:48:13.283Z,
course,1029,2,course#1029 评论 2：重点知识点总结得不错，复习方便。,5,normal,2026-02-04T10:48:13.283Z,
course,1029,3,course#1029 评论 3：节奏刚好，建议再补充一点练习题。,1,normal,2026-02-02T10:48:13.283Z,
course,1029,4,course#1029 评论 4：内容有深度但不晦涩，体验很好。,7,normal,2026-01-28T10:48:13.283Z,
course,1029,5,course#1029 评论 5：实例讲解很实用，收藏了。,1,normal,2026-02-04T10:48:13.283Z,
course,1029,6,course#1029 评论 6：案例很贴近实际，学完能直接上手。,2,normal,2026-01-23T10:48:13.283Z,
course,1030,1,course#1030 评论 1：重点知识点总结得不错，复习方便。,7,normal,2026-02-03T10:48:13.283Z,
course,1030,2,course#1030 评论 2：如果能加配套资料就更好了。,0,normal,2026-01-23T10:48:13.283Z,
course,1030,3,course#1030 评论 3：内容有深度但不晦涩，体验很好。,7,normal,2026-01-22T10:48:13.283Z,
course,1030,4,course#1030 评论 4：重点知识点总结得不错，复习方便。,5,normal,2026-01-24T10:48:13.283Z,
course,1030,5,course#1030 评论 5：这节课讲得很清楚，重点很明确。,5,normal,2026-01-29T10:48:13.283Z,
course,1030,6,course#1030 评论 6：课程结构清晰，学习路线明了。,3,normal,2026-01-27T10:48:13.283Z,
course,1031,1,course#1031 评论 1：这节课讲得很清楚，重点很明确。,6,normal,2026-02-03T10:48:13.283Z,
course,1031,2,course#1031 评论 2：这节课讲得很清楚，重点很明确。,0,normal,2026-02-04T10:48:13.283Z,
course,1031,3,course#1031 评论 3：案例很贴近实际，学完能直接上手。,3,normal,2026-02-01T10:48:13.283Z,
course,1031,4,course#1031 评论 4：内容有深度但不晦涩，体验很好。,3,normal,2026-02-03T10:48:13.283Z,
course,1031,5,course#1031 评论 5：案例很贴近实际，学完能直接上手。,1,normal,2026-02-04T10:48:13.283Z,
course,1031,6,course#1031 评论 6：节奏刚好，建议再补充一点练习题。,0,normal,2026-01-27T10:48:13.283Z,
course,1032,1,course#1032 评论 1：案例很贴近实际，学完能直接上手。,4,normal,2026-02-03T10:48:13.283Z,
course,1032,2,course#1032 评论 2：这节课讲得很清楚，重点很明确。,5,normal,2026-02-03T10:48:13.283Z,
